1,MAINTENANCE,0,000000
2,EMPTY,0,000000
3,EMPTY,0,000000
4,EMPTY,0,000000
5,EMPTY,0,000000
6,EMPTY,0,000000
7,EMPTY,0,000000
8,EMPTY,0,000000
9,OCCUPIED,0172147026,651392
10,MAINTENANCE,0,000000
11,MAINTENANCE,0,000000
12,MAINTENANCE,0,000000
13,EMPTY,0,000000
14,EMPTY,0,000000
15,EMPTY,0,000000
16,EMPTY,0,000000
17,EMPTY,0,000000
18,OCCUPIED,0123456789,785720
19,EMPTY,0,000000
20,EMPTY,0,000000
21,EMPTY,0,000000
22,EMPTY,0,000000
23,EMPTY,0,000000
24,EMPTY,0,000000
25,EMPTY,0,000000
26,EMPTY,0,000000
27,EMPTY,0,000000
28,EMPTY,0,000000
29,EMPTY,0,000000
30,EMPTY,0,000000
